Time    Activity  	Sleep Status
383.0m     66.0    0
384.0m     59.0    0
385.0m     5.0    0
386.0m     2.0    0
387.0m     2.0    0
388.0m     2.0    0
389.0m     2.0    0
390.0m     2.0    0
391.0m     1.0    0
392.0m     2.0    0
393.0m     151.0    1
394.0m     31.0    1
395.0m     20.0    0
396.0m     25.0    0
397.0m     0.0    0
398.0m     119.0    0
399.0m     44.0    1
400.0m     21.0    0
401.0m     509.0    1
402.0m     375.0    1
403.0m     470.0    1
404.0m     320.0    1
405.0m     263.0    1
406.0m     14.0    1
407.0m     431.0    1
408.0m     134.0    1
409.0m     157.0    1
410.0m     2.0    1
411.0m     2.0    0
412.0m     0.0    0
413.0m     0.0    0
414.0m     0.0    0
415.0m     0.0    0
416.0m     316.0    1
417.0m     0.0    1
418.0m     159.0    1
419.0m     502.0    1
420.0m     352.0    1
421.0m     387.0    1
422.0m     172.0    1
423.0m     487.0    1
424.0m     319.0    1
425.0m     254.0    1
426.0m     248.0    1
427.0m     406.0    1
428.0m     582.0    1
429.0m     179.0    1
430.0m     360.0    1
431.0m     266.0    1
432.0m     581.0    1
433.0m     749.0    1
434.0m     4188.0    1
435.0m     3757.0    1
436.0m     5895.0    1
437.0m     3162.0    1
438.0m     2238.0    1
439.0m     1475.0    1
