Time    Activity  	Sleep Status
569.0m     0.0    0
570.0m     0.0    0
571.0m     0.0    0
572.0m     0.0    0
573.0m     4.0    0
574.0m     58.0    0
575.0m     0.0    0
576.0m     0.0    0
577.0m     0.0    0
578.0m     0.0    0
579.0m     59.0    0
580.0m     39.0    0
581.0m     0.0    0
582.0m     0.0    0
583.0m     0.0    0
584.0m     0.0    0
585.0m     0.0    0
586.0m     0.0    0
587.0m     0.0    0
588.0m     0.0    0
589.0m     0.0    0
590.0m     0.0    0
591.0m     0.0    0
592.0m     0.0    0
593.0m     0.0    0
594.0m     145.0    0
595.0m     31.0    1
596.0m     0.0    0
597.0m     0.0    0
598.0m     15.0    0
599.0m     40.0    0
600.0m     0.0    0
601.0m     0.0    0
602.0m     0.0    0
603.0m     0.0    0
604.0m     0.0    0
605.0m     0.0    0
606.0m     1.0    0
607.0m     7.0    0
608.0m     0.0    0
609.0m     0.0    0
610.0m     1.0    0
611.0m     0.0    0
612.0m     0.0    0
613.0m     0.0    0
614.0m     0.0    0
615.0m     0.0    0
616.0m     0.0    0
617.0m     0.0    0
618.0m     0.0    0
619.0m     0.0    0
620.0m     0.0    0
621.0m     0.0    0
622.0m     0.0    0
623.0m     13.0    0
624.0m     7.0    0
625.0m     0.0    0
626.0m     0.0    0
627.0m     0.0    0
628.0m     0.0    0
629.0m     0.0    0
630.0m     0.0    0
631.0m     0.0    0
632.0m     0.0    0
633.0m     34.0    0
634.0m     4.0    0
635.0m     1.0    0
636.0m     4.0    0
637.0m     0.0    0
638.0m     28.0    0
639.0m     1.0    0
640.0m     3.0    0
641.0m     128.0    0
642.0m     100.0    1
643.0m     136.0    1
644.0m     78.0    1
645.0m     61.0    0
646.0m     1.0    0
647.0m     129.0    0
648.0m     28.0    1
649.0m     30.0    0
650.0m     0.0    0
651.0m     0.0    0
652.0m     0.0    0
653.0m     0.0    0
654.0m     0.0    0
655.0m     0.0    0
656.0m     98.0    0
657.0m     0.0    0
658.0m     76.0    0
659.0m     111.0    1
660.0m     86.0    1
661.0m     109.0    1
662.0m     50.0    1
663.0m     111.0    1
664.0m     84.0    1
665.0m     72.0    1
666.0m     70.0    0
667.0m     93.0    1
668.0m     160.0    1
669.0m     49.0    1
670.0m     94.0    0
671.0m     76.0    1
672.0m     181.0    1
673.0m     289.0    1
674.0m     1860.0    1
675.0m     1502.0    1
676.0m     2573.0    1
677.0m     1267.0    1
678.0m     930.0    1
679.0m     612.0    1
